"","last_fico_range_high","last_fico_range_low","pub_rec_bankruptcies","revol_util","inq_last_6mths","is_rent","is_bad"
"126",799,795,0,76.6,0,TRUE,0
"127",674,670,0,37.7,1,TRUE,0
"128",689,685,0,70.7,2,TRUE,0
"129",714,710,0,34.8,0,FALSE,0
"130",719,715,0,0.6,1,TRUE,0
"131",614,610,0,47.6,2,TRUE,0
"132",549,545,0,71.2,1,FALSE,1
"133",719,715,0,43.4,1,FALSE,0
"134",664,660,0,33.3,2,TRUE,0
"135",739,735,0,35.9,0,TRUE,0
"136",694,690,0,58,0,TRUE,0
"137",699,695,0,56.6,0,TRUE,0
"138",634,630,0,62.3,1,TRUE,1
"139",729,725,0,31.2,1,FALSE,0
"140",789,785,0,16,0,FALSE,0
"141",689,685,0,90.3,2,TRUE,0
"142",599,595,0,79.7,0,TRUE,0
"143",669,665,0,70.8,1,TRUE,0
"144",709,705,0,62.1,1,FALSE,0
"145",739,735,0,67.3,1,TRUE,0
"146",649,645,0,65.4,2,TRUE,1
"147",724,720,0,72.4,0,TRUE,0
"148",614,610,0,78.1,0,FALSE,0
"149",679,675,0,40.5,0,FALSE,0
"150",669,665,0,83.5,2,FALSE,0
"151",804,800,0,61.4,0,TRUE,0
"152",594,590,0,29.3,0,TRUE,1
"153",689,685,0,97.2,0,FALSE,0
"154",569,565,0,65.8,1,TRUE,1
"155",619,615,0,80.2,1,TRUE,0
"156",524,520,0,90.8,3,FALSE,1
"157",704,700,0,81.5,1,TRUE,0
"158",774,770,0,28,0,TRUE,0
"159",719,715,0,78.5,0,TRUE,0
"160",649,645,0,88.2,0,TRUE,0
"161",674,670,0,92.3,1,TRUE,0
"162",594,590,1,91.6,0,FALSE,0
"163",784,780,0,66.8,1,FALSE,0
"164",644,640,0,69,0,FALSE,0
"165",764,760,0,54.3,1,TRUE,0
"166",649,645,0,49.8,4,FALSE,0
"167",759,755,0,95.9,1,FALSE,0
"168",669,665,0,28.5,1,FALSE,0
"169",524,520,0,42.2,2,FALSE,1
"170",699,695,0,67.2,1,FALSE,0
"171",669,665,0,34.6,0,TRUE,0
"172",674,670,0,48.3,2,TRUE,0
"173",709,705,0,68.1,0,TRUE,0
"174",754,750,0,65,3,TRUE,0
"175",699,695,0,85.7,3,TRUE,0
"176",614,610,0,69.5,2,TRUE,1
"177",609,605,0,67.1,1,TRUE,1
"178",544,540,0,79.9,1,TRUE,1
"179",714,710,0,70.9,0,TRUE,0
"180",684,680,0,79.9,0,TRUE,1
"181",674,670,0,65.6,0,TRUE,0
"182",679,675,0,95.3,0,TRUE,0
"183",629,625,0,74.9,2,TRUE,1
"184",594,590,0,75.9,0,TRUE,1
"185",679,675,0,24.1,0,FALSE,0
"186",744,740,0,1.4,1,FALSE,0
"187",634,630,0,71.7,0,FALSE,0
"188",644,640,0,61.8,1,FALSE,0
"189",644,640,0,89.3,0,TRUE,1
"190",759,755,0,77.7,2,TRUE,0
"191",714,710,0,84.6,0,TRUE,0
"192",529,525,0,48.8,1,TRUE,0
"193",684,680,0,80.3,0,TRUE,0
"194",684,680,0,13.4,1,FALSE,0
"195",709,705,0,35.4,1,TRUE,0
"196",579,575,0,86.2,1,FALSE,1
"197",784,780,0,89.1,1,FALSE,0
"198",684,680,0,55.4,1,TRUE,0
"199",744,740,0,58.7,2,TRUE,0
"200",744,740,0,90.8,1,TRUE,0
"201",749,745,0,88.7,1,TRUE,0
"202",679,675,0,77.5,0,FALSE,0
"203",669,665,0,76.7,1,TRUE,0
"204",554,550,0,73.4,1,FALSE,1
"205",534,530,0,55.5,1,TRUE,1
"206",719,715,0,85.7,0,TRUE,0
"207",689,685,0,64.8,2,TRUE,0
"208",734,730,0,90,1,FALSE,0
"209",699,695,0,71.6,1,FALSE,0
"210",739,735,0,89.8,0,FALSE,0
"211",679,675,0,96.4,1,TRUE,0
"212",654,650,0,84.7,1,FALSE,0
"213",499,0,0,89.6,1,TRUE,1
"214",694,690,0,82.7,2,TRUE,0
"215",779,775,0,25.5,1,TRUE,0
"216",714,710,0,75,1,FALSE,0
"217",554,550,0,58.9,2,FALSE,0
"218",749,745,0,50.3,0,FALSE,0
"219",714,710,0,42.2,0,TRUE,0
"220",694,690,0,51.1,2,TRUE,0
"221",654,650,0,75.3,2,FALSE,1
"222",499,0,0,92.8,0,FALSE,0
"223",774,770,0,65,1,FALSE,0
"224",699,695,0,99,3,FALSE,0
"225",534,530,0,82.9,0,TRUE,1
"226",499,0,0,72.7,1,FALSE,1
"227",499,0,0,90.9,0,FALSE,1
"228",654,650,0,50.7,0,TRUE,0
"229",664,660,0,97.8,0,FALSE,0
"230",624,620,0,50.1,0,TRUE,0
"231",669,665,0,66.7,0,FALSE,0
"232",504,500,0,70.2,0,TRUE,1
"233",814,810,0,70.4,0,TRUE,0
"234",734,730,0,73.7,1,FALSE,0
"235",689,685,0,55.5,0,FALSE,0
"236",654,650,0,80.3,0,FALSE,0
"237",724,720,0,38.8,1,TRUE,0
