total_rec_prncp,last_fico_range_high,last_fico_range_low,last_pymnt_delta,last_pymnt_amnt,zip_code,is_bad
4281.54,554,550,913.0,312.04,752xx,1.0
18e3,799,795,1127.0,567.29,935xx,0.0
2500.0,674,670,62.0,2530.74,325xx,0.0
21e3,689,685,609.0,17029.75,801xx,0.0
35e3,714,710,1127.0,1123.85,928xx,0.0
1e4,719,715,731.0,4190.34,080xx,0.0
7e3,614,610,1127.0,238.06,233xx,0.0
3813.57,549,545,244.0,843.3,927xx,1.0
10625.0,719,715,913.0,2594.01,970xx,0.0
5e3,664,660,397.0,3615.46,150xx,0.0
8850.0,739,735,1127.0,5.67,211xx,0.0
6375.0,694,690,366.0,2585.54,303xx,0.0
6e3,699,695,821.0,2082.79,070xx,0.0
6516.79,634,630,701.0,340.82,194xx,1.0
1e4,729,725,1035.0,5526.53,923xx,0.0
6200.0,789,785,1127.0,1.83,263xx,0.0
15e3,689,685,882.0,4641.23,300xx,0.0
4200.0,599,595,1127.0,141.26,403xx,0.0
14e3,669,665,122.0,13531.87,919xx,0.0
8875.0,709,705,640.0,4472.8,301xx,0.0
13500.0,739,735,1127.0,307.62,917xx,0.0
9011.72,649,645,882.0,386.7,553xx,1.0
16e3,724,720,882.0,10869.79,993xx,0.0
21600.0,614,610,609.0,17416.49,312xx,0.0
6e3,679,675,943.0,1335.92,074xx,0.0
8450.0,669,665,1370.0,3239.35,606xx,0.0
2e4,804,800,1158.0,9848.46,432xx,0.0
4293.91,594,590,578.0,62.38,921xx,1.0
12e3,689,685,821.0,4368.56,303xx,0.0
3516.74,569,565,670.0,28.0,917xx,1.0
7200.0,619,615,1158.0,19.26,602xx,0.0
905.39,524,520,244.0,193.17,850xx,1.0
12e3,704,700,731.0,5359.38,931xx,0.0
8500.0,774,770,517.0,4936.27,216xx,0.0
8e3,719,715,1127.0,262.31,151xx,0.0
8e3,649,645,1127.0,269.73,971xx,0.0
16e3,674,670,1431.0,199.56,305xx,0.0
15e3,594,590,548.0,9412.4,334xx,0.0
1e4,784,780,943.0,369.43,050xx,0.0
1e4,644,640,731.0,4152.52,129xx,0.0
8e3,764,760,244.0,6983.56,925xx,0.0
22e3,649,645,1096.0,1430.05,483xx,0.0
6e3,759,755,731.0,1960.88,760xx,0.0
16e3,669,665,1552.0,3585.81,329xx,0.0
1575.06,524,520,731.0,77.78,961xx,1.0
13500.0,699,695,1005.0,1706.24,200xx,0.0
25e3,669,665,1127.0,842.08,085xx,0.0
1e4,674,670,1005.0,1669.38,951xx,0.0
2500.0,709,705,1127.0,95.98,981xx,0.0
7325.0,754,750,1127.0,249.25,330xx,0.0
4e3,699,695,305.0,3270.11,103xx,0.0
6799.56,614,610,821.0,339.31,927xx,1.0
4935.39,609,605,762.0,277.36,601xx,1.0
1318.27,544,540,305.0,591.09,334xx,1.0
9600.0,714,710,762.0,3643.9,117xx,0.0
2142.87,684,680,244.0,464.07,931xx,1.0
14e3,674,670,366.0,10643.16,063xx,0.0
13350.0,679,675,1127.0,449.39,920xx,0.0
8365.66,629,625,852.0,188.69,543xx,1.0
6944.85,594,590,609.0,536.81,951xx,1.0
11e3,679,675,1644.0,1962.65,927xx,0.0
35e3,744,740,670.0,272.59,775xx,0.0
9e3,634,630,1127.0,6.65,570xx,0.0
22475.0,644,640,1613.0,4649.32,038xx,0.0
9479.47,644,640,882.0,528.58,606xx,1.0
13500.0,759,755,1127.0,456.95,221xx,0.0
24e3,714,710,1127.0,819.13,985xx,0.0
12e3,529,525,1127.0,396.1,920xx,0.0
8400.0,684,680,1523.0,2319.6,113xx,0.0
28e3,684,680,31.0,28412.43,275xx,0.0
14e3,709,705,1005.0,2133.17,236xx,0.0
2534.26,579,575,305.0,411.71,148xx,1.0
25e3,784,780,1005.0,1122.55,028xx,0.0
9e3,684,680,1127.0,306.11,115xx,0.0
13250.0,744,740,1127.0,437.68,450xx,0.0
2e4,744,740,762.0,8269.74,921xx,0.0
3e3,749,745,1127.0,107.29,532xx,0.0
7350.0,679,675,1127.0,249.88,729xx,0.0
11500.0,669,665,1127.0,416.2,321xx,0.0
5810.73,554,550,517.0,456.12,913xx,1.0
1414.89,534,530,213.0,370.66,959xx,1.0
12e3,719,715,1127.0,395.05,941xx,0.0
6e3,689,685,1127.0,198.16,432xx,0.0
11500.0,734,730,578.0,6821.51,955xx,0.0
7e3,699,695,793.0,2454.29,217xx,0.0
29500.0,739,735,1400.0,9781.44,880xx,0.0
2e3,679,675,1127.0,15.88,770xx,0.0
11625.0,654,650,1127.0,406.12,660xx,0.0
11609.04,499,0,913.0,517.21,770xx,1.0
5300.0,694,690,1035.0,741.85,062xx,0.0
8200.0,779,775,1127.0,260.69,193xx,0.0
12e3,714,710,1127.0,413.19,750xx,0.0
8650.0,554,550,1127.0,312.44,335xx,0.0
11800.0,749,745,1644.0,2269.0,070xx,0.0
14826.19,714,710,1736.0,399.97,761xx,0.0
12e3,694,690,1127.0,411.96,941xx,0.0
5366.65,654,650,701.0,318.68,921xx,1.0
7400.0,499,0,1127.0,255.3,857xx,0.0
14400.0,774,770,244.0,12526.96,334xx,0.0
18100.0,699,695,366.0,16499.75,850xx,0.0
6744.17,534,530,1066.0,225.29,306xx,1.0
3946.3,499,0,428.0,642.96,271xx,1.0
3452.36,499,0,1035.0,154.69,981xx,1.0
4e3,654,650,244.0,3313.87,902xx,0.0
1500.0,664,660,62.0,1521.89,900xx,0.0
19600.0,624,620,428.0,13491.06,142xx,0.0
2500.0,669,665,701.0,1168.5,850xx,0.0
4513.35,504,500,578.0,335.45,956xx,1.0
1e4,814,810,1127.0,319.94,441xx,0.0
4225.0,734,730,1127.0,146.48,983xx,0.0
3500.0,689,685,1127.0,3.62,945xx,0.0
12e3,654,650,1127.0,381.02,330xx,0.0
16500.0,724,720,1096.0,1053.02,604xx,0.0
22e3,679,675,701.0,407.7,985xx,0.0
12e3,724,720,91.0,11605.56,672xx,0.0
11631.87,589,585,1492.0,352.48,109xx,1.0
10800.0,499,0,1127.0,372.99,917xx,0.0
14e3,709,705,1005.0,2309.01,300xx,0.0
17424.15,629,625,1766.0,473.75,113xx,0.0
6e3,709,705,1127.0,215.51,880xx,0.0
12e3,794,790,1035.0,965.7,752xx,0.0
1e4,739,735,1127.0,348.59,981xx,0.0
